Name,Team,Position,Tier,Mason Dodd Rank,Expert Rank
Jaleel McLaughlin,DEN,RB,K,-,295.50
Audric Estime,NO,RB,K,-,296.50
Luke Musgrave,GB,TE,K,-,298.00
Will Shipley,PHI,RB,K,-,298.50
Tutu Atwell,MIA,WR,K,-,300.33
Kareem Hunt,,RB,K,-,300.50
Tyler Higbee,LAR,TE,K,-,304.50
Jordan Whittington,LAR,WR,K,-,305.67
DeMario Douglas,NE,WR,K,-,306.50
Luke Schoonmaker,DAL,TE,K,-,311.00
Eli Heidenreich,PIT,RB,K,-,311.50
Brenen Thompson,LAC,WR,K,-,312.50
Jawhar Jordan,HOU,RB,K,-,316.50
Savion Williams,GB,WR,K,-,317.50
Xavier Hutchinson,HOU,WR,K,-,320.50
Kevin Coleman Jr.,MIA,WR,K,-,321.50
KaVontae Turpin,DAL,WR,K,-,323.50
Kalif Raymond,CHI,WR,K,-,324.50
Joe Flacco,CIN,QB,K,-,325.50
Nick Westbrook-Ikhine,IND,WR,K,-,326.50
Ashton Dulin,IND,WR,K,-,327.50
Devontez Walker,BAL,WR,K,-,331.50
Dameon Pierce,PHI,RB,K,-,332.50
Roman Wilson,PIT,WR,K,-,337.50
Dyami Brown,WAS,WR,K,-,338.50
Greg Dortch,DET,WR,K,-,339.50
Demarcus Robinson,SF,WR,K,-,340.50
Theo Wease Jr.,MIA,WR,K,-,341.50
Riley Leonard,IND,QB,K,-,342.50
Mo Alie-Cox,IND,TE,K,-,343.50
Gardner Minshew,ARI,QB,K,-,344.50
DeAndre Hopkins,,WR,K,-,345.50
Taysom Hill,,TE,K,-,346.50
Tyrod Taylor,GB,QB,K,-,347.50
JuJu Smith-Schuster,,WR,K,-,348.50
Zonovan Knight,ARI,RB,K,-,349.50
Raheim Sanders,CLE,RB,K,-,350.50
